"","X.1","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","Try.marking","T0","T.1","Teaching","Candidate.Understanding","Comments","KS.Try.marking","KS.T0","KS.T.1","KS.Teaching","KS.Candidate.Understanding","CU.disagree","T0.disagree","T.1.disagree","Teaching.disagree","Try.marking.disagree"
"1",184,118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 19 sec","21 min 21 sec","India",FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",189,124,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 25 sec","21 min 25 sec","Jordan",TRUE,TRUE,FALSE,FALSE,TRUE,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"4",86,75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 12 sec","3 min 15 sec","India",TRUE,FALSE,TRUE,FALSE,FALSE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"6",28,211,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 14 sec","1 min 15 sec","Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,"",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"7",35,194,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 28 sec","1 min 32 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9",45,202,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 54 sec","1 min 57 sec","Nepal",FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10",24,191,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 9 sec","1 min 12 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"11",171,159,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,"17 min 1 sec","17 min 2 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"12",141,181,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 17 sec","7 min 19 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"14",256,286,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 43 sec","2 min 44 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"17",230,300,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,"0 min 15 sec","0 min 16 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"18",236,327,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,"0 min 26 sec","0 min 26 sec","India",FALSE,FALSE,FALSE,FALSE,FALSE,"Sign start and sign end identical so not sure which sign is meant, I think INDIA and this variant is part of teaching construction, but not the taught sign itself. In fact it is not a colour descriptor.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"21",324,320,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 36 sec","13 min 38 sec","India",FALSE,TRUE,FALSE,FALSE,TRUE,"",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"22",326,326,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 37 sec","13 min 38 sec","Nepal",FALSE,FALSE,FALSE,FALSE,FALSE,"T+1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"23",389,405,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 1 sec","11 min 2 sec","India",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"26",426,393,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 44 sec","16 min 45 sec","Indonesia",FALSE,FALSE,TRUE,FALSE,FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"27",344,377,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",1,14,"2 min 17 sec","2 min 18 sec","India",FALSE,TRUE,FALSE,FALSE,TRUE,"",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"28",362,380,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,"7 min 19 sec","7 min 20 sec","Indonesia",TRUE,FALSE,FALSE,FALSE,FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"29",354,460,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",24,5,"6 min 28 sec","6 min 30 sec","Nepal",FALSE,FALSE,TRUE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"31",385,474,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,"9 min 15 sec","9 min 15 sec","Nepal",FALSE,FALSE,TRUE,FALSE,FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"33",1,32,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,"0 min 10 sec","0 min 10 sec","Jordan",FALSE,FALSE,TRUE,FALSE,NA,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"34",162,4,"Colour_game_01_1_Jordan-India_After_one_week.eaf",1,1,"13 min 53 sec","13 min 55 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"35",181,115,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 17 sec","21 min 18 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"36",182,116,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 18 sec","21 min 19 sec","India",FALSE,FALSE,FALSE,TRUE,NA,"",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"38",76,64,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 5 sec","3 min 6 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"39",77,65,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 6 sec","3 min 6 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"43",142,188,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 24 sec","7 min 25 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"44",158,173,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,18,"9 min 29 sec","9 min 31 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"45",258,288,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 45 sec","2 min 45 sec","Jordan",TRUE,TRUE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"46",329,323,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 48 sec","13 min 49 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"unsure about this one if he is saying mine is brown or my (sign) is brown",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"47",400,421,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 15 sec","11 min 17 sec","Indonesia",TRUE,TRUE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"49",416,432,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 47 sec","11 min 51 sec","Indonesia",TRUE,FALSE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"50",425,392,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 43 sec","16 min 44 sec","Indonesia",TRUE,FALSE,FALSE,FALSE,NA,"",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"51",428,398,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 46 sec","16 min 47 sec","India",FALSE,FALSE,FALSE,FALSE,NA,"",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"52",348,448,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",6,14,"3 min 6 sec","3 min 7 sec","Jordan",FALSE,TRUE,FALSE,FALSE,NA,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
