"X","filename","trialID","trial_value","sign_start","sign_end","sign_start_milli","sign_end_milli","speakerName","KS.Try.marking","Try.marking","KS.T.1","T.1","KS.T0","T0","KS.Teaching","Teaching","Disagree","Disagree_What"
118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 19 sec","21 min 21 sec",1279911,1281176,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","Teaching"
124,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 25 sec","21 min 25 sec",1285297,1285626,"Jordan",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes","TryMarking   "
17,"Colour_game_01_1_Jordan-India_After_one_week.eaf",9,14,"29 min 1 sec","29 min 3 sec",1741962,1743205,"Jordan",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 12 sec","3 min 15 sec",192461,195418,"India",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
77,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 18 sec","3 min 21 sec",198794,201039,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
211,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 14 sec","1 min 15 sec",74830,75070,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
194,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 28 sec","1 min 32 sec",88950,92700,"Nepal",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
196,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 33 sec","1 min 34 sec",93670,94316,"Nepal",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
202,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 54 sec","1 min 57 sec",114517,117836,"Nepal",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking, T-1  "
191,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 9 sec","1 min 12 sec",69666,72593,"Nepal",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
159,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,"17 min 1 sec","17 min 2 sec",1021608,1022810,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
181,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 17 sec","7 min 19 sec",437454,439000,"Nepal",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
272,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,"10 min 3 sec","10 min 4 sec",603477,604626,"Indonesia",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
286,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 43 sec","2 min 44 sec",163000,164983,"Indonesia",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking, T-1  "
276,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",23,24,"8 min 22 sec","8 min 23 sec",502491,503125,"Indonesia",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"No",""
300,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,"0 min 15 sec","0 min 16 sec",15442,16035,"Nepal",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking   "
327,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,"0 min 26 sec","0 min 26 sec",26340,26986,"India",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking, T-1  "
361,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,"10 min 57 sec","10 min 59 sec",657684,659284,"India",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
320,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 36 sec","13 min 38 sec",816711,818824,"India",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes","T0 "
326,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 37 sec","13 min 38 sec",817087,818017,"Nepal",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
405,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 1 sec","11 min 2 sec",661394,662981,"India",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
415,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 24 sec","11 min 25 sec",684656,685338,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
393,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 44 sec","16 min 45 sec",1004319,1005060,"Indonesia",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
377,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",1,14,"2 min 17 sec","2 min 18 sec",137630,138321,"India",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
380,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,"7 min 19 sec","7 min 20 sec",439285,440619,"Indonesia",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking   "
460,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",24,5,"6 min 28 sec","6 min 30 sec",388459,390355,"Nepal",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking   "
458,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",23,7,"8 min 47 sec","8 min 48 sec",527251,528147,"Nepal",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
474,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,"9 min 15 sec","9 min 15 sec",555000,555493,"Nepal",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes","T-1  "
451,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",11,24,"9 min 9 sec","9 min 12 sec",549932,552132,"Jordan",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"No",""
32,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,"0 min 10 sec","0 min 10 sec",10050,10875,"Jordan",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes","TryMarking   "
4,"Colour_game_01_1_Jordan-India_After_one_week.eaf",1,1,"13 min 53 sec","13 min 55 sec",833302,835341,"India",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
115,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 17 sec","21 min 18 sec",1277846,1278090,"India",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","T-1, Teaching"
116,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 18 sec","21 min 19 sec",1278919,1279471,"India",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Yes","TryMarking, T-1  "
76,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 15 sec","3 min 17 sec",195537,197105,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
64,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 5 sec","3 min 6 sec",185747,186451,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","Teaching"
65,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 6 sec","3 min 6 sec",186457,186988,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","Teaching"
68,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 7 sec","3 min 7 sec",187640,187991,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
72,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 9 sec","3 min 10 sec",189621,190294,"India",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No",""
213,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 16 sec","1 min 17 sec",76700,77199,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
188,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 24 sec","7 min 25 sec",444100,445120,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
173,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,18,"9 min 29 sec","9 min 31 sec",569783,571133,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
288,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 45 sec","2 min 45 sec",165435,165967,"Jordan",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes","TryMarking   "
323,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,"13 min 48 sec","13 min 49 sec",828413,829251,"India",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","TryMarking, Teaching"
421,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 15 sec","11 min 17 sec",675397,677326,"Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes","TryMarking   "
427,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 28 sec","11 min 29 sec",688639,689758,"Indonesia",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"No",""
432,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",20,5,"11 min 47 sec","11 min 51 sec",707316,711087,"Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","TryMarking, T0 "
392,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 43 sec","16 min 44 sec",1003645,1004319,"Indonesia",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes","TryMarking, T-1, Teaching"
398,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,"16 min 46 sec","16 min 47 sec",1006296,1007142,"India",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes","T0 "
448,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",6,14,"3 min 6 sec","3 min 7 sec",186503,187385,"Jordan",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Yes","T0, Teaching"
