"","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","TryMarked","T0","T_minus_1","Teach","sign_start2","sign_end2"
"6",34,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,13967,15150,"Jordan","?","?","?","?","0 min 13 sec","0 min 15 sec"
"10",36,"Colour_game_01_1_Jordan-India_After_one_week.eaf",14,7,17690,19207,"Jordan","?","?","?","?","0 min 17 sec","0 min 19 sec"
"19",143,"Colour_game_01_1_Jordan-India_After_one_week.eaf",35,7,58518,60138,"India","?","?","?","?","0 min 58 sec","1 min 0 sec"
"68",59,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,172423,174786,"India","?","?","?","?","2 min 52 sec","2 min 54 sec"
"75",63,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,184604,185747,"India","?","?","?","?","3 min 4 sec","3 min 5 sec"
"78",66,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,186992,187171,"India","?","?","?","?","3 min 6 sec","3 min 7 sec"
"82",70,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,188423,189127,"India","?","?","?","?","3 min 8 sec","3 min 9 sec"
"86",75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,192461,195418,"India","?","?","?","?","3 min 12 sec","3 min 15 sec"
"90",94,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,196930,199185,"Jordan","?","?","?","?","3 min 16 sec","3 min 19 sec"
"184",118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1279911,1281176,"India","?","?","?","?","21 min 19 sec","21 min 21 sec"
"187",123,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,1283005,1283643,"Jordan","?","?","?","?","21 min 23 sec","21 min 23 sec"
"211",17,"Colour_game_01_1_Jordan-India_After_one_week.eaf",9,14,1741962,1743205,"Jordan","?","?","?","?","29 min 1 sec","29 min 3 sec"
"220",138,"Colour_game_01_1_Jordan-India_After_one_week.eaf",34,5,2031152,2031709,"India","?","?","?","?","33 min 51 sec","33 min 51 sec"
"147",185,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,461510,464059,"Nepal","?","?","?","?","7 min 41 sec","7 min 44 sec"
"170",156,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,1020009,1022346,"Nepal","?","?","?","?","17 min 0 sec","17 min 2 sec"
"173",158,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,1024014,1024864,"Nepal","?","?","?","?","17 min 4 sec","17 min 4 sec"
"254",284,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",25,1,136420,137880,"Indonesia","?","?","?","?","2 min 16 sec","2 min 17 sec"
"272",289,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",33,14,213330,214680,"Indonesia","?","?","?","?","3 min 33 sec","3 min 34 sec"
"296",268,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,593042,595831,"Indonesia","?","?","?","?","9 min 53 sec","9 min 55 sec"
"301",271,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,602278,603477,"Indonesia","?","?","?","?","10 min 2 sec","10 min 3 sec"
"303",275,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",21,5,606907,608335,"Jordan","?","?","?","?","10 min 6 sec","10 min 8 sec"
"225",295,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,10570,12810,"Nepal","?","?","?","?","0 min 10 sec","0 min 12 sec"
"231",301,"Colour_game_01_2_Nepal-India_After_one_week.eaf",3,18,16035,16560,"Nepal","?","?","?","?","0 min 16 sec","0 min 16 sec"
"240",331,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,28955,30271,"India","?","?","?","?","0 min 28 sec","0 min 30 sec"
"245",335,"Colour_game_01_2_Nepal-India_After_one_week.eaf",25,1,34879,35179,"India","?","?","?","?","0 min 34 sec","0 min 35 sec"
"281",359,"Colour_game_01_2_Nepal-India_After_one_week.eaf",31,14,439192,439344,"India","?","?","?","?","7 min 19 sec","7 min 19 sec"
"316",373,"Colour_game_01_2_Nepal-India_After_one_week.eaf",32,24,671687,673317,"Nepal","?","?","?","?","11 min 11 sec","11 min 13 sec"
"323",319,"Colour_game_01_2_Nepal-India_After_one_week.eaf",22,5,815362,816704,"India","?","?","?","?","13 min 35 sec","13 min 36 sec"
"332",293,"Colour_game_01_2_Nepal-India_After_one_week.eaf",1,14,1026214,1027082,"India","?","?","?","?","17 min 6 sec","17 min 7 sec"
"351",403,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",17,1,309893,310393,"Indonesia","?","?","?","?","5 min 9 sec","5 min 10 sec"
"365",382,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,450060,451632,"Indonesia","?","?","?","?","7 min 30 sec","7 min 31 sec"
"370",386,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",4,24,458011,459916,"Indonesia","?","?","?","?","7 min 38 sec","7 min 39 sec"
"373",442,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,528597,529226,"Indonesia","?","?","?","?","8 min 48 sec","8 min 49 sec"
"374",443,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530360,530810,"Indonesia","?","?","?","?","8 min 50 sec","8 min 50 sec"
"375",441,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530362,531184,"India","?","?","?","?","8 min 50 sec","8 min 51 sec"
"376",444,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,530810,531086,"Indonesia","?","?","?","?","8 min 50 sec","8 min 51 sec"
"377",445,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",28,7,531086,532022,"Indonesia","?","?","?","?","8 min 51 sec","8 min 52 sec"
"421",436,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",24,18,978105,979417,"India","?","?","?","?","16 min 18 sec","16 min 19 sec"
"423",438,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",24,18,980105,981147,"India","?","?","?","?","16 min 20 sec","16 min 21 sec"
"432",399,"Colour_game_01_3_Indonesia-India_After_one_week.eaf",9,18,1010460,1010722,"India","?","?","?","?","16 min 50 sec","16 min 50 sec"
"378",451,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",11,24,549932,552132,"Jordan","?","?","?","?","9 min 9 sec","9 min 12 sec"
"379",470,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,549932,552132,"Jordan","?","?","?","?","9 min 9 sec","9 min 12 sec"
"382",453,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",11,24,550666,552991,"Nepal","?","?","?","?","9 min 10 sec","9 min 12 sec"
"384",473,"Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",31,24,552997,554977,"Nepal","?","?","?","?","9 min 12 sec","9 min 14 sec"
